HOST_NEIGHBOURHOOD_LGA,NUMBER_OF_DISTINCT_HOST,AVG_ESTIMATED_REVENUE,AVG_ESTIMATED_REVENUE_PER_HOST
Inner West,1371,3639.429497,2.654580231
Lake Macquarie,1,2162.142857,2162.142857
Lane Cove,168,7196.683893,42.83740413
Mosman,213,8875.675971,41.66984024
North Sydney,557,4301.276101,7.722219212
Northern Beaches,1100,9683.284885,8.802986259
Parramatta,46,1566.648569,34.05757758
Randwick,1509,4266.994641,2.827696912
Ryde,16,2789.814159,174.363385
Singleton,65,2463.746667,37.90379487
Strathfield,43,1310.593939,30.47892882
Sutherland Shire,98,4404.571553,44.94460768
Sydney,3457,4168.111831,1.205702005
Upper Hunter Shire,94,4679.502728,49.78194392
Waverley,2562,5818.724686,2.271164983
Willoughby,179,5208.698589,29.0988748
Woollahra,469,10501.56769,22.39140233
,11020,4907.326952,0.445310976
