LISTING_NEIGHBOURHOOD,MONTH_YEAR,MAXIMUM_PRICE,MINIMUM_PRICE,MEDIAN_PRICE,AVERAGE_PRICE,DISTINCT_HOST,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTING,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTING,TOTAL_NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Woollahra,1/06/2020,12075,23,150,318.5384106,1255,9.6689,93.529592,-2.52,,239232,6189.841722
Bayside,1/07/2020,14376,0,81,180.9019987,1171,14.6357,92.049383,-2.21,,918720,2462.005803
Blacktown,1/07/2020,2164,23,64,117.9634552,230,14.9502,90.843575,-1.95,,240075,1376.843854
Burwood,1/07/2020,2711,14,70,145.5660377,161,8.3019,89.615819,0.76,,26388,1884.992453
Camden,1/07/2020,2157,31,94.5,232.66,42,34,94.969697,0,,20500,2329.6
Campbelltown,1/07/2020,2500,20,83,240.8584071,73,27.4336,92.333333,-5.04,,61950,2274.787611
Canada Bay,1/07/2020,2711,24,105,155.9787736,359,9.9057,92.869403,-4.5,,148223,3212.167453
Canterbury-Bankstown,1/07/2020,2157,13,75,104.1360759,490,12.6582,90.951282,-2.77,,394446,1479.015823
Cumberland,1/07/2020,15000,14,98,196.1583166,368,15.2305,91.468144,-8.61,,145530,3969.094188
Fairfield,1/07/2020,2164,20,78,222.2815534,57,13.5922,89.671233,5.1,,32798,1366.524272
Georges River,1/07/2020,1500,0,80,118.8961353,305,15.942,92.767176,0,,132923,2081.311594
Hornsby,1/07/2020,5000,20,87,176.8905908,324,24.7265,93.330484,0.22,,274006,2503.857768
Hunters Hill,1/07/2020,2711,36,180,327.5849057,53,7.5472,95.4,-3.64,,6294,6900.943396
Inner West,1/07/2020,9020,14,101,190.1419327,1923,16.0915,93.457453,-4.02,,993453,3825.835203
Lane Cove,1/07/2020,3000,25,118,267.0619195,244,12.6935,91.904762,3.53,,52470,4376.123839
Liverpool,1/07/2020,2164,16,91,276.1677419,106,20,92.193878,4.73,,73848,2708.264516
Mosman,1/07/2020,14355,30,200,447.9207317,354,13.8211,94.88785,-3.34,,10606,9313.821138
North Sydney,1/07/2020,3150,19,136,218.5056948,1007,15.7935,93.977124,-1.5,,356343,4070.677297
Northern Beaches,1/07/2020,7137,1,200,354.1310484,4078,17.7823,95.167687,-0.58,,6113250,6935.7375
Parramatta,1/07/2020,3000,14,85,197.5961538,405,14.5105,90.148148,-1.55,,351315,1937.877622
Penrith,1/07/2020,2164,30,105,182.7840909,111,26.1364,95.385827,2.33,,54675,1529.153409
Randwick,1/07/2020,10000,4,118,203.4973462,2541,10.4902,92.238703,-2.2,,1114350,4228.264752
Ryde,1/07/2020,2711,20,89,164.2540862,492,15.7504,92.861915,-1.9,,155207,2910.824666
Strathfield,1/07/2020,999,16,70,122.5804878,152,15.6098,88.365672,-1.91,,6584,1669.604878
Sutherland Shire,1/07/2020,2710,35,141,222.0094518,464,29.1115,95.380952,-2.76,,428327,4360.909263
Sydney,1/07/2020,14315,0,131,237.1087463,6017,14.699,92.506539,-3.66,,4805575,4114.458597
The Hills Shire,1/07/2020,6985,26,80.5,254.3159509,250,19.3252,93.086538,3.82,,52030,2267.966258
Waverley,1/07/2020,10000,5,150,247.7052717,4085,9.6275,93.970396,-2.21,,1298715,5455.223692
Willoughby,1/07/2020,2711,22,120,214.9639469,391,9.2979,91.688761,0.57,,89800,3327.988615
Woollahra,1/07/2020,28613,25,150,338.4707071,1230,10.4377,93.524454,-1.66,,235571,6775.139394
Bayside,1/08/2020,2904,17,79,110.6945145,1051,15.5797,92.009153,-11.03,,748350,1916.703761
Blacktown,1/08/2020,2000,20,60,98.15205674,216,13.4752,90.011696,-6.31,,182490,1228.808085
Burwood,1/08/2020,530,15,65,91.7364898,152,7.7551,89.595238,-7.55,,22542,1272.894776
Camden,1/08/2020,400,35,95,112.3617021,41,34.0426,95.151515,-6,,17375,1616.531915
